,cpu,batch,njobs,network
0,1,64,1,lenet5
1,2,64,1,lenet5
2,4,64,1,lenet5
3,8,64,1,lenet5
4,1,128,1,lenet5
5,2,128,1,lenet5
6,4,128,1,lenet5
7,8,128,1,lenet5
8,1,256,1,lenet5
9,2,256,1,lenet5
10,4,256,1,lenet5
11,8,256,1,lenet5
12,1,512,1,lenet5
13,2,512,1,lenet5
14,4,512,1,lenet5
15,8,512,1,lenet5
16,1,64,3,lenet5
17,2,64,3,lenet5
18,4,64,3,lenet5
19,8,64,3,lenet5
20,1,128,3,lenet5
21,2,128,3,lenet5
22,4,128,3,lenet5
23,8,128,3,lenet5
24,1,256,3,lenet5
25,2,256,3,lenet5
26,4,256,3,lenet5
27,8,256,3,lenet5
28,1,512,3,lenet5
29,2,512,3,lenet5
30,4,512,3,lenet5
31,8,512,3,lenet5
32,1,64,5,lenet5
33,2,64,5,lenet5
34,4,64,5,lenet5
35,8,64,5,lenet5
36,1,128,5,lenet5
37,2,128,5,lenet5
38,4,128,5,lenet5
39,8,128,5,lenet5
40,1,256,5,lenet5
41,2,256,5,lenet5
42,4,256,5,lenet5
43,8,256,5,lenet5
44,1,512,5,lenet5
45,2,512,5,lenet5
46,4,512,5,lenet5
47,8,512,5,lenet5
48,1,64,1,simplenet
49,2,64,1,simplenet
50,4,64,1,simplenet
51,8,64,1,simplenet
52,1,128,1,simplenet
53,2,128,1,simplenet
54,4,128,1,simplenet
55,8,128,1,simplenet
56,1,256,1,simplenet
57,2,256,1,simplenet
58,4,256,1,simplenet
59,8,256,1,simplenet
60,1,512,1,simplenet
61,2,512,1,simplenet
62,4,512,1,simplenet
63,8,512,1,simplenet
64,1,64,3,simplenet
65,2,64,3,simplenet
66,4,64,3,simplenet
67,8,64,3,simplenet
68,1,128,3,simplenet
69,2,128,3,simplenet
70,4,128,3,simplenet
71,8,128,3,simplenet
72,1,256,3,simplenet
73,2,256,3,simplenet
74,4,256,3,simplenet
75,8,256,3,simplenet
76,1,512,3,simplenet
77,2,512,3,simplenet
78,4,512,3,simplenet
79,8,512,3,simplenet
80,1,64,5,simplenet
81,2,64,5,simplenet
82,4,64,5,simplenet
83,8,64,5,simplenet
84,1,128,5,simplenet
85,2,128,5,simplenet
86,4,128,5,simplenet
87,8,128,5,simplenet
88,1,256,5,simplenet
89,2,256,5,simplenet
90,4,256,5,simplenet
91,8,256,5,simplenet
92,1,512,5,simplenet
93,2,512,5,simplenet
94,4,512,5,simplenet
95,8,512,5,simplenet
